sites,bond_dimension,exact_upper,upper_error_to_bethe,projected_width_with_level47_lower,elapsed_seconds,integration_stage,source_sha256
1000,32,-0.4428702958784947210360110613724028607783910704995163883827803331086029,0.0002768846814505096796016903649505311669710205649367366172196668913971,0.001106271121505278963988938628,384.9837234159995,formal_certificate,5520f4a61bcee7ea8781057393af972da0acfb17f04bad39389aca58c746e36b
2000,32,-0.4429718716756524621827266981244135714041260047625605680012449946796683,0.0001753088842927685328860536129398205412360863018925569987550053203317,0.001004695324347537817273301876,110.17316550761461,exact_contraction_frontier,b9a28af4286f95d443dd0ad6e6c593d8cbebc71bb749f13c95802db155da5249
4000,32,-0.4430226595742313327560845165004163705171246351507727098548430656199430,0.0001245209857138979595282352369370214282374559136804151451569343800570,0.0009539074257686672439154834996,442.1859307847917,exact_contraction_frontier,8ef728904a458f465794e85d15a11bdd7d9e7eb82ec52299c419f3af778235c3
8000,32,-0.4430480535235207680427634256884177700736239503448787807816420247058950,0.0000991270364244626728493260489356218717381407195743442183579752941050,0.0009285134764792319572365743116,1582.2862099558115,exact_contraction_frontier,0b06010d9203aba62e8afed7f0966adb1eb1483179edbfa4212254a3d0246655
12000,32,-0.4430565181732839131383230620844182365924570554095808044239083444012123,0.0000906623866613175772896896529351553529050356548723205760916555987877,0.0009200488267160868616769379156,4172.203836627305,exact_contraction_frontier,cf22442923925fbd258292f101a593d1e7a9ee771b62e179a91b10fde89e51af
16000,32,-0.4430607504981654856861028802824184698518736079419318162450415042488710,0.0000864300617797450295098714549349220934884831225213087549584957511290,0.0009158165018345143138971197176,8076.40768356435,exact_contraction_frontier,7e59c3878056fe21f94b8bad2afe2d6c750dbfa62551d61582f223114ed95d8d
