L,sector,chi128_energy,chi256_energy,energy_shift,chi128_relative_variance,chi256_relative_variance,chi128_discarded_weight,chi256_discarded_weight,chi256_wall_seconds
128,even,-227.82202176331634,-227.8220222694654,-5.061490639945987e-07,1.2012025054070196e-10,2.41453092472056e-12,2.4982883794166387e-08,2.4000778590255145e-09,1990.5782120900003
128,odd,-227.77687357575877,-227.7768740017147,-4.259559318597894e-07,1.0062575527394468e-10,2.1202836803307812e-12,9.941398849517345e-08,2.48145268131992e-09,1951.8747774790008
