L,dimension,lambda_1,ell_1,residual_1,lambda_2,ell_2,residual_2,lambda_3,ell_3,residual_3,lambda_4,ell_4,residual_4,lambda_5,ell_5,residual_5,lambda_6,ell_6,residual_6,lambda_7,ell_7,residual_7,lambda_8,ell_8,residual_8,lambda_9,ell_9,residual_9,lambda_10,ell_10,residual_10,lambda_11,ell_11,residual_11,lambda_12,ell_12,residual_12,qr_ell1,qr_abs_error,spectrum_runtime_seconds,qr_runtime_seconds
8,256,1755.653773917592,7.4705965872821025,3.4100359695194137e-15,1590.4343104793884,7.371762409160167,4.014679523213155e-13,808.4368047930717,6.695102512440987,2.46000770267997e-12,752.9079737917606,6.623943007571359,1.1295630694282104e-12,752.9079737917599,6.623943007571358,1.2997071585675784e-12,426.15558910770125,6.054804512235349,5.006239720912588e-12,426.1555891077009,6.054804512235348,4.187193430309095e-12,412.4597775221218,6.02213869198314,4.168888703830593e-12,412.4597775221215,6.022138691983139,7.7040258412889e-12,412.45977752212144,6.022138691983139,9.012269027069433e-12,412.4597775221212,6.022138691983138,9.30777197512246e-12,356.4249169325007,5.876123605982554,3.181732643060534e-11,7.4705965872821025,0.0,0.04048255000000722,0.012854200999981913
10,1024,11195.743642978461,9.32328895317585,6.973057281690782e-15,10346.64315954338,9.244417413675116,6.319143911912689e-13,6003.365694062632,8.700075539947546,7.617719449101058e-13,5629.745324665797,8.635819484704864,7.946983117232101e-13,5629.745324665793,8.635819484704864,7.451989330222381e-13,3402.651657677932,8.13231030595785,3.0302727437123652e-12,3402.6516576779263,8.132310305957848,2.4675851036519874e-12,3402.6516576779245,8.132310305957848,1.096169691841846e-11,3402.6516576779236,8.132310305957848,9.137243491142066e-12,3387.244701487885,8.127772097473457,1.2465296784075541e-11,3387.2447014878794,8.127772097473455,4.079287884276234e-12,3063.218855804735,8.027221555734611,2.9529859286846245e-11,9.323288953175847,1.7763568394002505e-15,0.07821366400000329,0.02222181700000192
12,4096,71557.04882269431,11.178250296172662,1.799739252567664e-14,67010.87080985784,11.112610136105252,4.0551429109285516e-13,42515.19409907909,10.6576167992353,2.2156943092958572e-12,40158.2700444388,10.60058367685509,9.842001646134732e-13,40158.27004443878,10.600583676855088,1.8862359499353037e-12,26111.057069655868,10.17011414611518,1.447386682010007e-11,26111.057069655773,10.170114146115177,2.0320217096778274e-11,26111.05706965575,10.170114146115177,1.4849230536387485e-11,26111.057069655733,10.170114146115175,1.6357442583486169e-12,25595.875033637374,10.150186485986039,1.0101947114204913e-11,25595.875033637312,10.150186485986037,2.548516045882203e-11,24066.045306858454,10.088557217604931,1.7859969761306138e-11,11.178250296172664,1.7763568394002505e-15,0.2800294299999848,0.04997430199998121
16,65536,2932969.707446191,14.891526019725616,6.114234006110511e-13,2792251.999361064,14.842358996442234,1.881240387672641e-13,1982922.9476963691,14.50008255031552,1.706049514251364e-12,1894777.4690481718,14.454611959021713,3.6030584332072356e-12,1894777.469048171,14.454611959021713,1.7498116765205045e-12,1360134.366919028,14.123094052037082,2.6191665076344623e-12,1360134.366919022,14.123094052037079,4.938191634811625e-12,1360134.366919001,14.123094052037063,2.077342545524178e-12,1360134.366919,14.123094052037061,2.1817521027809247e-12,1321845.7256001378,14.094539594853451,1.2554041969357474e-11,1321845.7256001267,14.094539594853444,9.91459003504042e-12,1285765.632197234,14.066864921601157,1.1111844788810008e-11,14.891526019725621,5.329070518200751e-15,4.6607134490000135,0.5049528449999912
20,1048576,120482720.45924525,18.607016901933946,2.667840888164255e-12,115838364.37955937,18.567706366850402,8.909717208481036e-13,88057592.40750548,18.293501617553666,1.030655134016684e-12,84824897.49771766,18.256099660236757,2.224677979390121e-12,84824897.49771452,18.25609966023672,1.3320984680503792e-12,64844876.43946468,17.987508459275027,4.53933311652018e-12,64844876.43946344,17.987508459275006,7.512903463201398e-12,64844876.43946179,17.98750845927498,1.1337725879158295e-11,64844876.439459205,17.98750845927494,6.093263710391816e-12,63029185.43021358,17.959108437880694,1.0400695602395932e-11,63029185.430211745,17.959108437880666,1.506364324557206e-11,62114682.59268064,17.94449295362218,1.009994873758719e-11,18.607016901933875,7.105427357601002e-14,154.523404889,13.64139107599999
