length,gamma,r_xi,energy,variance,discarded_weight,sweeps,wall_seconds
32,1.555,0.35319631215318614,-56.863032678781934,1.519765646662563e-09,7.835617337538645e-11,14,171.94101842999999
32,1.56,0.34477686295251586,-56.98348639337358,1.4915713109076023e-09,7.625596040339953e-11,14,177.67632299399997
32,1.565,0.33661533930370907,-57.10452644007979,1.445187081117183e-09,7.484162138201065e-11,14,179.244418258
64,1.555,0.3659580736964494,-113.64832508953207,2.4152177502401173e-07,2.5594245621110587e-09,18,581.2540601629998
64,1.56,0.34962100307183774,-113.88907451602289,2.3665415938012302e-07,2.5315324355751346e-09,18,570.3105830949999
64,1.565,0.33413656974275696,-114.13123165869554,2.3099164536688477e-07,2.51446302349516e-09,18,590.9019505119995
